,author,cite_num,paper_num
0,Andrew Y. Ng,7390,19
1,Yoshua Bengio,5324,21
2,Geoffrey E. Hinton,3584,9
3,Honglak Lee,3279,10
4,Ronan Collobert,3223,9
5,Shai Shalev-Shwartz,3184,20
6,Jason Weston,3179,13
7,Ruslan R. Salakhutdinov,2632,9
8,Hugo Larochelle,2599,10
9,Quoc Le,2545,4
10,Andriy Mnih,2460,7
11,Yoram Singer,2406,5
12,Pascal Vincent,2137,4
13,Nathan Srebro,2085,8
14,Brian Kulis,2072,6
15,John Langford,2020,12
16,Jesse Davis,2004,6
17,David M. Blei,1972,6
18,Francis Bach,1929,9
19,Thorsten Joachims,1831,11
20,Mark Goadrich,1807,1
21,Inderjit S. Dhillon,1713,2
22,Trevor Darrell,1703,5
23,Rich Caruana,1700,5
24,Jean Ponce,1640,2
25,Julien Mairal,1630,5
26,Yong Yu,1610,4
27,Kai Yu,1596,9
28,Chris Burges,1507,1
29,Nicole Hamilton,1507,1
30,Matt Deeds,1507,1
31,Ari Lazier,1507,1
32,Erin Renshaw,1507,1
33,Greg Hullender,1507,1
34,Tal Shaked,1507,1
35,Rajat Raina,1504,3
36,Prateek Jain,1498,8
37,Vinod Nair,1484,1
38,Suvrit Sra,1481,11
39,Alexandru Niculescu-Mizil,1481,4
40,Rajesh Ranganath,1469,3
41,Pierre-Antoine Manzagol,1466,1
42,Qiang Yang,1461,9
43,John D. Lafferty,1440,1
44,Roger Grosse,1433,4
45,Hang Li,1431,5
46,Tie-Yan Liu,1401,4
47,Sergey Ioffe,1356,1
48,Christian Szegedy,1356,1
49,Carlos Guestrin,1352,10
50,Marc'Aurelio Ranzato,1310,3
51,Sham Kakade,1306,6
52,Guillermo Sapiro,1283,5
53,Kilian Weinberger,1283,13
54,Jason V. Davis,1271,1
55,Oriol Vinyals,1257,1
56,Judy Hoffman,1257,1
57,Ning Zhang,1257,1
58,Eric Tzeng,1257,1
59,Jeff Donahue,1257,1
60,Yangqing Jia,1257,1
61,Michael Jordan,1255,15
62,Andreas Krause,1244,17
63,Zoubin Ghahramani,1238,29
64,Greg Corrado,1229,2
65,Alex Smola,1221,13
66,Alex Graves,1208,5
67,David Silver,1206,10
68,Shih-Fu Chang,1197,7
69,Aaron Courville,1193,5
70,Alina Beygelzimer,1162,5
71,Adam Coates,1159,6
72,Shuiwang Ji,1158,5
73,Michael I. Jordan,1156,12
74,Matthieu Devin,1147,1
75,Kai Chen,1147,1
76,Rajat Monga,1147,1
77,Wei Xu,1123,2
78,Andrew McCallum,1115,8
79,Jun Wang,1104,8
80,James Martens,1080,7
81,Jiquan Ngiam,1071,3
82,Chih-Jen Lin,1054,3
83,Lawrence Carin,1049,31
84,Tomas Mikolov,1032,2
85,Bernhard Schalkopf,1020,13
86,Tao Qin,1019,2
87,Daan Wierstra,1015,8
88,Benjamin Packer,1003,1
89,Alexis Battle,1003,1
90,Pedro Domingos,996,9
91,Xavier Glorot,995,3
92,Ming-Feng Tsai,993,1
93,Zhe Cao,993,1
94,Vikas Sindhwani,989,9
95,Rich Zemel,947,6
96,Gui-Rong Xue,941,4
97,Daphne Koller,931,7
98,Wenyuan Dai,924,3
99,Ruslan Salakhudinov,924,4
100,Ilya Sutskever,920,6
101,Tobias Scheffer,919,11
102,Ohad Shamir,909,17
103,Guillaume Obozinski,907,3
104,Ryan Kiros,900,4
105,Tong Zhang,897,12
106,Sanjiv Kumar,894,7
107,Volker Tresp,878,6
108,S. Sathiya Keerthi,877,3
109,Jieping Ye,872,17
110,Iain Murray,867,5
111,Karol Gregor,862,7
112,Le Song,854,14
113,Lihong Li,849,10
114,Max Welling,842,14
115,Yann LeCun,836,6
116,Cho-Jui Hsieh,835,8
117,Shie Mannor,834,24
118,Rong Jin,831,20
119,David Mimno,829,4
120,Raymond J. Mooney,785,4
121,Nati Srebro,782,3
122,Richard Socher,781,3
123,John Duchi,780,4
124,Ivor W. Tsang,777,7
125,Yee Whye Teh,768,4
126,Wei Liu,764,3
127,Kyunghyun Cho,755,2
128,Zhi-Hua Zhou,748,8
129,Ming Yang,747,1
130,Dengyong Zhou,736,7
131,Pieter Abbeel,727,8
132,Antoine Bordes,712,3
133,Changshui Zhang,707,3
134,Jason D. M. Rennie,707,1
135,Hal Daume III,703,8
136,Tushar Chandra,687,1
137,Guangcan Liu,686,1
138,Zhouchen Lin,686,1
139,Tijmen Tieleman,685,2
140,Wei Li,670,2
141,Juhan Nam,665,1
142,Mingyu Kim,665,1
143,Aditya Khosla,665,1
144,Kelvin Xu,663,1
145,Jimmy Ba,663,1
146,Jun Zhu,654,16
147,James T. Kwok,643,7
148,Jean-Philippe Vert,641,3
149,Kai-Wei Chang,640,3
150,Fei Wang,636,2
151,James Kwok,624,9
152,Michael R. Lyu,624,5
153,Hanna M. Wallach,623,1
154,James Bergstra,609,3
155,Stanley Kok,609,4
156,Inderjit Dhillon,607,19
157,Steffen Bickel,604,4
158,Marina Meila,600,2
159,Leon Bottou,600,4
160,S. Sundararajan,598,1
161,Tony Jebara,594,6
162,Ryan Adams,582,16
163,Cliff Chiung-Yu Lin,575,2
164,Mehryar Mohri,569,11
165,Frank Seide,563,1
166,Dong Yu,563,1
167,Gang Li,563,1
168,Chun-Nam Yu,562,3
169,Laurent Jacob,558,1
170,Chris Manning,554,1
171,Sathiya Keerthi,554,2
172,Vassil Chatalbashev,550,2
173,Thorsten Joachims ,547,1
174,Masashi Sugiyama,545,15
175,John Lafferty,541,7
176,Fei Sha,540,9
177,Juergen Schmidhuber,538,4
178,Chris Ding,535,3
179,Sanjoy Dasgupta,534,6
180,Eric P. Xing,534,6
181,Francis R. Bach,521,3
182,Michael Littman,515,7
183,Faustino Gomez,514,4
184,S.V.N. Vishwanathan,512,5
185,Hongyuan Zha,511,4
186,Raquel Urtasun,509,8
187,Shakir Mohamed,508,3
188,Bryan Catanzaro,508,3
189,Sylvain Gelly,507,1
190,Karthik Sridharan,505,4
191,Matthias Seeger,499,4
192,Arthur Gretton,498,12
193,Ben Taskar,498,4
194,Abhishek Kumar,497,4
195,Neil D. Lawrence,492,3
196,Ambuj Tewari,485,8
197,Maria-Florina Balcan,482,2
198,Koby Crammer,477,7
199,Marc Toussaint,476,9
200,Charles Elkan,469,4
201,Huan Liu,468,2
202,Thore Graepel,466,4
203,Lawrence K. Saul,466,2
204,Danilo Rezende,464,4
205,Ivo Danihelka,462,4
206,Manik Varma,460,3
207,David Fleet,458,2
208,Y-Lan Boureau,455,1
209,Jereme Louradour,453,1
210,Kai Zhang,453,5
211,Dumitru Erhan,452,1
212,Thomas Finley,451,2
213,Alain Rakotomamonjy,451,6
214,Corinna Cortes,448,8
215,Andrew Barto,448,6
216,Yu-Feng Li,447,4
217,Tamir Hazan,446,9
218,Sugato Basu,442,1
219,Ling Huang,439,2
220,Mikhail Belkin,439,3
221,Xavier Muller,436,1
222,Narayanan Sundaram,436,2
223,Salah RIFAI,436,1
224,Soumya Ray,433,7
225,Wei Chu,433,2
226,Hanna Wallach,430,2
227,Doina Precup,429,9
228,Mark Craven,428,2
229,Gavin Brown,427,2
230,Santiago Fernandez,426,1
231,Ruby Chiu-Hsing Weng,426,1
232,Csaba Szepesvari,424,20
233,J. Andrew Bagnell,423,3
234,Eric Xing,423,11
235,Eyke Hullermeier,418,6
236,Gert Lanckriet,417,6
237,Yves Grandvalet,416,5
238,Yan Liu,415,9
239,Sangkyun Lee,415,1
240,Stephen Wright,415,1
241,Manuel Gomez Rodriguez,414,3
242,Jianfeng Gao,413,1
243,Galen Andrew,413,1
244,Zheng Zhao,413,2
245,Partha Niyogi,411,1
246,Daniel Hsu,409,5
247,Mikel Lujan,408,1
248,Ming-Jie Zhao,408,1
249,Adam Pocock,408,1
250,Fabian Sinz,408,2
251,Weiwei Cheng,407,4
252,Serge Belongie,404,4
253,Xiaojin Zhu,402,5
254,Krzysztof Dembczynski,402,6
255,Michael Bowling,397,8
256,Michael L. Littman,396,4
257,Karen Livescu,396,3
258,Shipeng Yu,395,5
259,Arnaud Doucet,395,6
260,Christian Shelton,391,3
261,Percy Liang,389,12
262,John Paisley,386,7
263,Anirban Dasgupta,386,1
264,Josh Attenberg,386,1
265,Prasad Tadepalli,384,6
266,Sahand Negahban,384,2
267,Eamonn Keogh,383,1
268,Xiaopeng Xi,383,1
269,Chotirat Ann Ratanamahatana,383,1
270,Li Wei,383,1
271,Peter Stone,382,9
272,Alekh Agarwal,382,7
273,Junzhou Huang,378,1
274,Koray Kavukcuoglu,378,5
275,Kevin P. Murphy,378,2
276,Dimitris Metaxas,378,1
277,Niranjan Srinivas,378,1
278,Armando Fox,376,1
279,David Patterson,376,1
280,Minmin Chen,373,4
281,Amri Napolitano,371,1
282,Martin Jaggi,371,4
283,Taghi M. Khoshgoftaar,371,1
284,Jason D. Van Hulse,371,1
285,Alexander L. Strehl,370,3
286,Kurt Keutzer,368,1
287,Ding Zhou,368,2
288,Steven C. H. Hoi,367,3
289,Dan Roth,366,6
290,Elad Hazan,366,14
291,Jue Wang,364,2
292,Fernando Pereira,361,2
293,Fre_de_ric Ratle,360,1
294,Emily Fox,360,4
295,Ralf Herbrich,359,3
296,Olivier Chapelle,358,4
297,Abhik Lahiri,356,1
298,Bobby Prochnow,356,1
299,Volodymyr Mnih,354,3
300,Danilo Jimenez Rezende,354,1
301,Eric  Xing,352,5
302,Amnon Shashua,350,2
303,Kamalika Chaudhuri,349,2
304,Amir Globerson,348,9
305,Ivor Tsang,348,4
306,Han Liu,347,6
307,Jiayuan Huang,346,1
308,Katherine Heller,346,3
309,Mohammad Norouzi,345,1
310,Wensheng Zhang,345,1
311,Jean-Yves Audibert,345,4
312,Fen Xia,345,1
313,Mark W. Schmidt,344,1
314,Amr Ahmed,344,2
315,Vikas Raykar,344,2
316,Nicol N. Schraudolph,344,1
317,Peilin Zhao,342,7
318,Ajit Pauk Singh,341,1
319,Shalabh Bhatnagar,341,2
320,Justin Ma,340,1
321,Stefan Savage,340,1
322,Geoffrey M. Voelker,340,1
323,Mohammad Ghavamzadeh,340,10
324,Rakesh Babu,339,1
325,Mark Dredze,338,1
326,Jihun Hamm,337,2
327,Stephane Canu,335,2
328,David Balduzzi,333,3
329,Zenglin Xu,333,4
330,James Bailey,331,2
331,Julien Epps,330,2
332,Filip Radlinski,330,2
333,David Blei,329,7
334,Daniel Lee,327,1
335,Hans-Peter Kriegel,326,3
336,Jinbo Bi,324,3
337,Jeff Bilmes,324,11
338,Martin Jaggi ,322,1
339,Ashutosh Saxena,321,2
340,Yaakov Engel,321,2
341,Yisong Yue,321,5
342,Martin A. Zinkevich,316,1
343,Nathan D. Ratliff,316,1
344,Alessandro Lazaric,311,8
345,Steve Hanneke,311,3
346,Nguyen Xuan Vinh,311,1
347,Robert Kleinberg,309,2
348,Xiaofeng He,308,1
349,Richard Sutton,308,4
350,Nikos Karampatziakis,307,4
351,Zhixiang Xu,305,3
352,Claudio Gentile,305,5
353,Rodolphe Jenatton,305,2
354,Dong Xu,298,2
355,Lixin Duan,298,2
356,Nicolo Cesa-Bianchi,297,5
357,J. Zico Kolter,295,3
358,Junfeng He,294,2
359,Alan Fern,292,6
360,Kristen Grauman,290,2
361,Rong Ge,290,7
362,Marc Deisenroth,289,2
363,Jure Leskovec,288,3
364,Patrick Gallinari,288,3
365,Jiang Su,287,4
366,Navdeep Jaitly,285,1
367,Shimon Ullman,284,3
368,Nikos Vlassis,284,3
369,Anton Schwaighofer,284,1
370,Matthias Hein,282,2
371,Dacheng Tao,282,4
372,Seyoung Kim,282,1
373,Daniel Lowd,281,3
374,Sergey Levine,281,5
375,Anand Madhavan,280,1
376,Michael Fink,278,2
377,Pedro Pinheiro,275,2
378,Irwin King,275,3
379,Ron Meir,275,2
380,Robert E. Schapire,271,3
381,Sujay Sanghavi,271,6
382,Lilyana Mihalkova,270,2
383,Satyen Kale,270,5
384,Bin Cao,270,2
385,Jeff Michels,268,1
386,Ainur Yessenalina,268,1
387,Ronald Parr,266,3
388,Thomas Borchert,266,1
389,Christopher Painter-Wakefield,266,3
390,Joaquin Quinonero Candela,266,1
391,Nando de Freitas,265,3
392,Michael Mahoney,265,7
393,Joaquin Quinonero-Candela,264,3
394,Christopher J.C. Burges,264,1
395,Maximilian Nickel,263,1
396,David Dunson,263,13
397,Martin J. Wainwright,262,2
398,Karsten M. Borgwardt,262,2
399,Xiangyang Xue,260,4
400,Brian McFee,259,2
401,Purnamrita Sarkar,258,3
402,Gavin Taylor,258,5
403,Ulf Brefeld,258,3
404,Pascal Poupart,257,2
405,Sridhar Mahadevan,256,6
406,Bin Li,255,5
407,Yudong Chen,253,7
408,Carl Rasmussen,252,1
409,Harry Zhang,252,3
410,Lawrence Saul,252,3
411,Yunus Saatci,252,3
412,Huan Xu,251,14
413,University of Technology,250,1
414,Kevin Regan,250,2
415,Tianyi Zhou,250,1
416,Alan Willsky,248,3
417,Shih-Fu Chang ,245,1
418,Xavier Carreras,245,4
419,Sanjeev Arora,244,3
420,Philip Torr,242,4
421,Jianke Zhu,242,1
422,Michael Brueckner,242,1
423,Remi Munos,241,8
424,Zhenghao Chen,240,2
425,pang Wei Koh,240,2
426,Jesse Hoey,240,1
427,David Kauchak,239,1
428,Bianca Zadrozny,239,3
429,Rasmus Madsen,239,1
430,Xuejun Liao,239,7
431,Yu-Yin Sun,237,1
432,Larry Wasserman,237,3
433,David Sontag,236,6
434,George Konidaris,235,3
435,Erik Sudderth,234,4
436,Anoop Korattikara,233,2
437,Jieping Ye ,233,4
438,Yonatan Amit,233,1
439,University of Maryland,232,2
440,Chong Wang,231,3
441,Glenn Fung,231,2
442,Eric Wiewiora,231,2
443,Ofer Dekel,231,5
444,Kevin Swersky,231,5
445,Balazs Kegl,230,5
446,Michalis Titsias,230,3
447,Simon Lacoste-Julien,229,4
448,David Andrzejewski,229,1
449,Hamid Maei,229,1
450,Csaba SzepesvariEric Wiewiora,229,1
451,Joachim M. Buhmann,228,4
452,Fang Han,228,4
453,Pradeep Ravikumar,227,15
454,Graham Taylor,227,1
455,Philip S. Yu,227,2
456,Xiaoyun Wu,227,2
457,Haiqin Yang,227,2
458,Bo Long,227,2
459,Raymond Mooney,226,2
460,Nitish Srivastava,224,1
461,Elman Mansimov,224,1
462,Linda Moy,223,1
463,Linda Zhao,223,1
464,Anna Jerebko,223,1
465,Gerardo Valadez,223,1
466,Luca Bogoni,223,1
467,Charles Florin,223,1
468,Francesco Orabona,221,6
469,Mehmet Gonen,218,1
470,Ethem Alpaydin,218,1
471,Wojciech Gryc,218,1
472,Alexandru Niculescu-mizil,218,1
473,Marco Cuturi,217,5
474,Steven C.H. Hoi,217,4
475,Dominik Janzing,216,9
476,Deepayan Chakrabarti,216,4
477,Dan Klein,215,3
478,Laura Dietz,215,1
479,Afshin Rostamizadeh,214,3
480,Kristian Kersting,214,2
481,Nuno Vasconcelos,213,4
482,Daniel Marcu,213,1
483,Sam Roweis,213,2
484,Wojciech Zaremba,213,2
485,Bo Zhang,212,5
486,Wenjie Fu,212,2
487,Olivier Sigaud,211,2
488,Jeremy Kolter,211,1
489,Marcus Maloof,211,1
490,Dale Schuurmans,210,8
491,Soeren Sonnenburg,209,2
492,Volker Roth,208,5
493,Stephen Boyd,207,3
494,Matt Kusner,207,5
495,Ya Xue,206,3
496,Arindam Banerjee,205,6
497,Jun Liu,204,4
498,Mark Zhang,204,1
499,Neil Lawrence,203,3
500,Bernhard Schoelkopf,203,8
501,John Guiver,203,2
502,Christopher Re,203,2
503,Mark Schmidt,202,2
504,Jurgen Van Gael,202,2
505,Mingmin Chi,202,2
506,Sinead Williamson,201,4
507,Satinder Singh,201,7
508,Francois Laviolette,200,8
509,Carlos Diuk,200,3
510,Fernando De la Torre,199,4
511,Daniel Bickson,198,1
512,Michael Collins,198,2
513,Joseph Bradley,198,1
514,Aapo Kyrola,198,1
515,Marie Szafranski,197,3
516,Massimiliano Pontil,197,2
517,Nicolas Boulanger-Lewandowski,197,1
518,Jennifer Dy,197,2
519,Andras Kocsor,196,1
520,Tao Li,196,1
521,Geoffrey Gordon,196,2
522,Shivani Agarwal,196,6
523,Geoffrey J. Gordon,195,3
524,Christos Faloutsos,194,1
525,Alexander Zien,194,3
526,Barnabas Poczos,194,10
527,Timothy Lillicrap,194,3
528,Jeff Schneider,194,11
529,Thomas Degris,194,3
530,Thomas Gartner,194,2
531,Thomas Walsh,193,3
532,Ariadna Quattoni,192,3
533,Fabrizio Costa,191,2
534,Mario Marchand,191,7
535,Stephen Tyree,191,3
536,Andrew Saxe,190,1
537,Bipin Suresh,190,1
538,Lin Xiao,190,5
539,Kenji Fukumizu,190,6
540,Ming Yuan,190,1
541,Maneesh Bhand,190,1
542,Li Wang,189,3
543,Kunle Olukotun,187,4
544,Tat-Seng Chua ,186,1
545,Rafal Jozefowicz,186,1
546,Alexandre d'Aspremont,185,2
547,Laurent El Ghaoui,185,2
548,Jian Li,184,4
549,Novi Quadrianto,184,5
550,Bruno Scherrer,180,10
551,Peter Frazier,180,3
552,Lev Reyzin,179,2
553,Xiaofei He,179,3
554,Deng Cai,178,2
555,Justin Bedo,177,1
556,Robert Busa-Fekete,177,6
557,Amos Storkey,176,5
558,Zheng Chen,175,1
559,Dou Shen,175,1
560,Robert Schapire,175,4
561,Jian-Tao Sun,175,1
562,Charles X. Ling,175,2
563,Zaiqing Nie,174,2
564,Sajid M. Siddiqi,174,2
565,Ji-Rong Wen,174,2
566,Kihyuk Sohn,173,4
567,Wen-Tau Yih,173,1
568,Samuel Kaski,173,5
569,Omer Tamuz,173,2
570,Hossein Mobahi,171,1
571,Ben Recht,171,3
572,Jason Weston ,171,1
573,Ameet Talwalkar,171,3
574,Avrim Blum,171,2
575,Sameer Agarwal,170,1
576,Kristin Branson,170,1
577,Dustin Lang,170,2
578,Hung Hay Ho,170,1
579,Ji Liu,170,3
580,Noah Smith,170,4
581,Wei Jin,170,1
582,Thomas Dietterich,170,4
583,Cedric Archambeau,169,3
584,Patrick Pletscher ,169,1
585,Miguel Lazaro-Gredilla,169,2
586,Matt Hoffman,168,4
587,Martin Wainwright,168,4
588,Romer Rosales,167,1
589,Yan Yan,167,1
590,Miguel a. Carreira-Perpinan,167,2
591,Jian Zhang,166,3
592,Charles Blundell,166,2
593,Alicia Wolfe,165,1
594,Ozgur Simsek,165,2
595,John Schulman,165,2
596,Lise Getoor,164,6
597,Carl Edward Rasmussen,164,3
598,Wei Wang,164,2
599,Simon Maskell,163,1
600,Sungjin Ahn,163,2
601,Alexander Rakhlin,163,3
602,Mike Klaas,163,1
603,Richard S. Sutton,163,2
604,Mark Briers,163,1
605,Marek Sulovsk_,162,1
606,Daniel J. Lizotte,162,2
607,Andrew Moore,161,2
608,Philip M. Long,160,4
609,Hannes Nickisch,160,4
610,Mingkui Tan,160,3
611,Guy Lever,160,3
612,Ali Jalali,160,4
613,Seung-Jean Kim,159,2
614,Takeo Kanade,159,2
615,David Rosenberg,159,1
616,Alessandro Magnani,159,2
617,Jianhui Chen,158,3
618,Massi Pontil,158,3
619,Stefanie Jegelka,158,6
620,Bernhard Sch_lkopf,158,4
621,Raman Arora,158,5
622,Stan Matwin,157,2
623,Chang Wang,157,2
624,Yijun Sun,156,2
625,Stefan Wrobel,156,1
626,Victor Lempitsky,156,2
627,Zhuoliang Kang,155,1
628,Wei-Ying Ma,155,1
629,Fei  Sha,155,1
630,Alex Aiken,154,1
631,Mayur Naik,154,1
632,Adam Kalai,154,2
633,Ben Liblit,154,1
634,Alice X. Zheng,154,1
635,Rocco A. Servedio,153,3
636,Remi Bardenet,153,3
637,Frank Wood,153,6
638,John Guttag,152,2
639,Mingrui Wu,152,3
640,Jacob Eisenstein,151,1
641,Maya Gupta,151,5
642,Philipp W. Keller,151,1
643,Murat Dundar,151,3
644,Thomas Buhler,151,2
645,Christian Plagemann,150,1
646,Patrick Pfaff,150,1
647,Wolfram Burgard,150,1
648,Vojtvech Franc,149,2
649,Yu-Xiang Wang,149,6
650,Jennifer G. Dy,148,2
651,Bernd Fischer,148,1
652,Nicolas Usunier,148,3
653,Finale Doshi,148,3
654,Nicholas Roy,148,3
655,Mark Palatucci,148,2
656,Tianbao Yang,147,8
657,Steve Wright,147,2
658,Yunsong Guo,147,1
659,Kevin Murphy,147,1
660,Xiang Xuan,147,1
661,Yann Dauphin,147,3
662,Nam Nguyen,147,1
663,Christian Igel,146,2
664,Srikrishna Sridhar,146,1
665,Victor Bittorf,146,1
666,Jonathan Huang,146,3
667,Gideon S. Mann,146,1
668,David B. Dunson,145,2
669,Ali Shoeb,145,1
670,Ankur Moitra,144,2
671,Hsiang-Fu Yu,143,2
672,Michael Zhu ,142,1
673,Jianmin Wang,142,2
674,Yichen Wu,142,1
675,Mohit Iyyer,142,1
676,Mehdi Mirza,142,1
677,Yonatan Halpern,142,1
678,Adria Puigdomenech Badia,142,1
679,James Bradbury,142,1
680,Ankit Kumar,142,1
681,Ishaan Gulrajani,142,1
682,Victor Zhong,142,1
683,Romain Paulus,142,1
684,Peter Ondruska,142,1
685,Ozan Irsoy,142,1
686,Tim Harley,142,1
687,Onureena Banerjee,141,1
688,Georges Natsoulis,141,1
689,Tong Zhang ,141,2
690,Constantine Caramanis,141,5
691,Sriraam Natarajan,140,2
692,Xiaoou Tang,140,3
693,Erich Elsen,140,2
694,Greg Diamos,140,2
695,Tianqi Chen,140,2
696,Jose Miguel Hernandez-Lobato,140,7
697,Mike Chrzanowski,140,2
698,Laurent Najman,139,1
699,Cl_ment Farabet,139,1
700,Jason Yosinski,139,1
701,Camille Couprie,139,1
702,Guillaume Alain,139,1
703,Eric Laufer,139,1
704,Boaz Nadler,139,3
705,Pat Langley,139,3
706,Petros Drineas,138,1
707,Carl Case,138,1
708,Craig Boutilier,138,3
709,Zhenyao Zhu,138,1
710,Dario Amodei,138,1
711,Malik Magdon-Ismail,138,1
712,Rishita Anubhai,138,1
713,Eric Battenberg,138,1
714,David Woodruff,138,2
715,Jared Casper,138,1
716,JingDong Chen,138,1
717,Yixin Chen,137,2
718,Jialei Wang,137,2
719,Csaba Szepesva_ri,136,1
720,Aaron Wilson,136,1
721,Ronald R. Coifman,135,1
722,Matan Gavish,135,1
723,Boqing Gong,135,1
724,Fei Sha ,135,1
725,Jun-Ming Xu,134,1
726,Gunnar Ratsch,134,2
727,Nicholas FitzGerald,133,1
728,Dieter Fox,133,1
729,Wenliang Zhong,133,3
730,Liefeng Bo,133,1
731,Cynthia Matuszek,133,1
732,Hua Ouyang,133,3
733,Ran El-Yaniv,133,2
734,Luke Zettlemoyer,133,1
735,Jonas Peters,133,5
736,Matyas Sustik,133,1
737,Hamed Masnadi-Shirazi,132,2
738,Xin Yang,132,1
739,Armand Joulin,132,3
740,Alex J. Smola,132,3
741,Haoying Fu,132,1
742,Jascha Sohl-Dickstein,132,4
743,Andrew J. Moore,132,1
744,Yuxin Chen,132,6
745,Liva Ralaivola,132,7
746,Jesse Barlow,132,1
747,William Stafford Noble,131,2
748,Manfred K. Warmuth,130,3
749,Luca Zaniboni,130,1
750,Andre Martins,130,3
751,David Vickrey,130,2
752,Yutian Chen,129,5
753,Dana Wilkinson,129,3
754,William W. Cohen,128,1
755,Frank Lin,128,1
756,Rohit Khandekar,128,1
757,Deepak Agarwal,128,1
758,Alexander Gray ,128,2
759,Rouhollah Rahmani,128,1
760,Sandeep Pandey,128,1
761,David Buffoni,128,2
762,Rahul Garg,128,1
763,Sally A. Goldman,128,1
764,Qiang Liu,127,6
765,Peter Richtarik,127,5
766,Xuanhui Wang,127,1
767,Perry R. Cook,127,1
768,Sylvain Calinon,127,1
769,Bharath Sriperumbudur,127,4
770,Matthew D. Hoffman,127,1
771,Aude Billard,127,1
772,Shai Avidan,126,1
773,Koji Tsuda,126,3
774,Shuicheng Yan,126,4
775,Pascal Germain,126,3
776,Jennifer Wortman Vaughan ,126,1
777,Chien-Ju Ho,126,1
778,Shahin Jabbari,126,1
779,Stephen Gould,126,3
780,Baback Moghaddam,126,1
781,Yair Weiss,126,1
